epoch,step,test_acc,test_loss,train_acc,train_loss,training_total_time,val_acc,val_loss
0,0,,,,,,0.22554348409175873,1.7544562816619873
0,0,,,0.1772974580526352,1.8025336265563965,,,
1,1,,,,,,0.33423912525177,1.7140461206436157
1,1,,,0.2161426842212677,1.7687405347824097,,,
2,2,,,,,,0.35597825050354004,1.6747043132781982
2,2,,,0.21568924188613892,1.7434053421020508,,,
3,3,,,,,,0.36141303181648254,1.6329927444458008
3,3,,,0.25105804204940796,1.7182362079620361,,,
4,4,,,,,,0.36277174949645996,1.5895038843154907
4,4,,,0.26194074749946594,1.6893683671951294,,,
5,5,,,,,,0.36684781312942505,1.5456891059875488
5,5,,,0.2921704947948456,1.6576900482177734,,,
6,6,,,,,,0.3913043439388275,1.5033167600631714
6,6,,,0.34235188364982605,1.624773621559143,,,
7,7,,,,,,0.5489130616188049,1.463361144065857
7,7,,,0.3721281886100769,1.5884586572647095,,,
8,8,,,,,,0.47146740555763245,1.4261393547058105
8,8,,,0.42865779995918274,1.5544768571853638,,,
9,9,,,,,,0.48097825050354004,1.39158296585083
9,9,,,0.45964327454566956,1.519029140472412,,,
10,10,,,,,,0.5054348111152649,1.3596128225326538
10,10,,,0.5042321681976318,1.4822293519973755,,,
11,11,,,,,,0.5339673757553101,1.3304332494735718
11,11,,,0.5225211381912231,1.4477612972259521,,,
12,12,,,,,,0.5475543737411499,1.3043460845947266
12,12,,,0.5294740200042725,1.4154402017593384,,,
13,13,,,,,,0.5557065010070801,1.2812837362289429
13,13,,,0.5377871990203857,1.3808385133743286,,,
14,14,,,,,,0.563858687877655,1.260930061340332
14,14,,,0.5373337268829346,1.352197527885437,,,
15,15,,,,,,0.5652173757553101,1.2425907850265503
15,15,,,0.5456469058990479,1.323255181312561,,,
16,16,,,,,,0.57472825050354,1.2254551649093628
16,16,,,0.5436819791793823,1.2989033460617065,,,
17,17,,,,,,0.58152174949646,1.2087360620498657
17,17,,,0.5515417456626892,1.2743250131607056,,,
18,18,,,,,,0.5910326242446899,1.1918845176696777
18,18,,,0.562877893447876,1.251375675201416,,,
19,19,,,,,,0.5991848111152649,1.174585223197937
19,19,,,0.5655985474586487,1.2307045459747314,,,
20,20,,,,,,0.595108687877655,1.1566040515899658
20,20,,,0.5758766531944275,1.2079722881317139,,,
21,21,,,,,,0.595108687877655,1.1378531455993652
21,21,,,0.5837364196777344,1.1866127252578735,,,
22,22,,,,,,0.595108687877655,1.1182347536087036
22,22,,,0.5909915566444397,1.1666768789291382,,,
23,23,,,,,,0.5964673757553101,1.0976964235305786
23,23,,,0.5947702527046204,1.1456365585327148,,,
24,24,,,,,,0.5964673757553101,1.0763181447982788
24,24,,,0.5987001061439514,1.1245582103729248,,,
25,25,,,,,,0.59375,1.0543369054794312
25,25,,,0.6003627777099609,1.1020467281341553,,,
26,26,,,,,,0.5964673757553101,1.032128930091858
26,26,,,0.6068621277809143,1.080446481704712,,,
27,27,,,,,,0.61277174949646,1.0099966526031494
27,27,,,0.6133615374565125,1.0598771572113037,,,
28,28,,,,,,0.64402174949646,0.9879974722862244
28,28,,,0.6221281886100769,1.0385173559188843,,,
29,29,,,,,,0.6603260636329651,0.9660298824310303
29,29,,,0.6345223784446716,1.018104910850525,,,
30,30,,,,,,0.6942934989929199,0.9439564347267151
30,30,,,0.6558343172073364,0.9979851841926575,,,
31,31,,,,,,0.720108687877655,0.9215894937515259
31,31,,,0.6701934933662415,0.9763632416725159,,,
32,32,,,,,,0.7758151888847351,0.8988428711891174
32,32,,,0.691807746887207,0.9538499712944031,,,
33,33,,,,,,0.811141312122345,0.8759393095970154
33,33,,,0.7329201698303223,0.9327419996261597,,,
34,34,,,,,,0.82201087474823,0.8530994653701782
34,34,,,0.762091875076294,0.9100326299667358,,,
35,35,,,,,,0.82201087474823,0.8304504752159119
35,35,,,0.7731257677078247,0.8885403871536255,,,
36,36,,,,,,0.8192934989929199,0.807985782623291
36,36,,,0.7755441069602966,0.8656237125396729,,,
37,37,,,,,,0.8192934989929199,0.7856171727180481
37,37,,,0.7759975790977478,0.84426349401474,,,
38,38,,,,,,0.8288043737411499,0.7630748152732849
38,38,,,0.7829504013061523,0.8206457495689392,,,
39,39,,,,,,0.83423912525177,0.7401095032691956
39,39,,,0.7915658950805664,0.7968593239784241,,,
40,40,,,,,,0.8586956262588501,0.7164443731307983
40,40,,,0.8019951581954956,0.7749181389808655,,,
41,41,,,,,,0.8722826242446899,0.6922850608825684
41,41,,,0.8116686940193176,0.751146674156189,,,
42,42,,,,,,0.8817934989929199,0.6679283380508423
42,42,,,0.8219467997550964,0.7256183624267578,,,
43,43,,,,,,0.875,0.6434578895568848
43,43,,,0.8326783776283264,0.702589213848114,,,
44,44,,,,,,0.8817934989929199,0.619373619556427
44,44,,,0.8387243151664734,0.6780099272727966,,,
45,45,,,,,,0.8899456262588501,0.5962673425674438
45,45,,,0.8502116203308105,0.6522138118743896,,,
46,46,,,,,,0.8899456262588501,0.5745025873184204
46,46,,,0.859280526638031,0.6271299719810486,,,
47,47,,,,,,0.88451087474823,0.5540775060653687
47,47,,,0.8691052198410034,0.6025176048278809,,,
48,48,,,,,,0.8913043737411499,0.5336344242095947
48,48,,,0.8771160840988159,0.5770598649978638,,,
49,49,,,,,,0.8913043737411499,0.5116794109344482
49,49,,,0.879685640335083,0.5518748164176941,,,
50,50,,,,,,0.89402174949646,0.4884125292301178
50,50,,,0.8893591165542603,0.5260264277458191,,,
51,51,,,,,,0.898097813129425,0.4655369818210602
51,51,,,0.8984280824661255,0.5012565851211548,,,
52,52,,,,,,0.9021739363670349,0.4442889094352722
52,52,,,0.9025090932846069,0.47539815306663513,,,
53,53,,,,,,0.9021739363670349,0.4262823760509491
53,53,,,0.9058343172073364,0.45279693603515625,,,
54,54,,,,,,0.904891312122345,0.4088289141654968
54,54,,,0.9144498109817505,0.42801937460899353,,,
55,55,,,,,,0.9103260636329651,0.39104175567626953
55,55,,,0.917472779750824,0.4049556851387024,,,
